epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.882,0.16463,0.99325,1,0.02171,0.000174486,0.000174486,0.000174486
2,26.921,0.16039,0.98838,1,0.03829,0.000332504,0.000332504,0.000332504
3,38.8315,0.19591,0.97838,0.99991,0.06383,0.000473163,0.000473163,0.000473163
4,50.1419,0.21505,0.98778,1,0.04101,0.000447889,0.000447889,0.000447889
5,61.2957,0.1996,0.98171,1,0.05212,0.000421852,0.000421852,0.000421852
6,72.1153,0.20263,0.98786,1,0.04036,0.000395815,0.000395815,0.000395815
7,83.2443,0.17991,0.98675,1,0.03908,0.000369778,0.000369778,0.000369778
8,94.5532,0.1778,0.98991,0.99991,0.03035,0.000343741,0.000343741,0.000343741
9,106.031,0.18197,0.99179,1,0.02839,0.000317704,0.000317704,0.000317704
